Person Full Name (Letr.),My Title,Jud Experience Pending Status,Jud Experience Pend Sub Type,Jud Experience Active Date,Experience Status Effective Date,Experience Status,Experience Status Reason
Hon. Michael T. Garcia (Ret.),"Judge of the Sacramento Superior and Municipal Courts, Sacramento County",Appointed,Deukemejian,01/29/1987,03/24/1989,Promoted,Elevated
Hon. Gail D. Ohanesian (Ret.),"Judge of the Superior Court of California,
  County of Sacramento",Unification,,06/17/1998,06/30/2008,Retired,Retirement
Hon. Gail D. Ohanesian (Ret.),"Judge of the Sacramento Superior and Municipal Courts, Sacramento County",Appointed,Deukemejian,01/29/1987,06/17/1998,Non-Voluntary,Unification-SCA4
Hon. Karl W. Jaeger (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Wilson,12/06/1996,10/15/2003,Retired,Retirement
Hon. Karl W. Jaeger (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Deukemejian,01/30/1987,12/06/1996,Promoted,Elevated
Hon. Albert Perry Dover (Ret.),"Presiding Judge of the Superior Court of California,
  County of Nevada",Selected,,01/01/2003,12/31/2004,Term Ended,
Hon. Albert Perry Dover (Ret.),"Judge of the Superior Court of California,
  County of Nevada",Unification,,07/01/1998,02/19/2007,Retired,Retirement
Hon. Albert Perry Dover (Ret.),"Judge of the Grass Valley Justice Court District, Nevada County",Appointed,Board of Supv,02/20/1987,01/01/1990,Promoted,Elevated
Hon. Albert Perry Dover (Ret.),"Judge of the Nevada County Municipal Court Courthouse Annex, Nevada County",Appointed,Deukemejian,01/01/1990,07/01/1998,Non-Voluntary,Unification-SCA4
Hon. Robert A. Dukes (Ret.),"Presiding Judge of the Superior Court of California,
  County of Los Angeles",Selected,,01/01/2003,12/31/2004,Term Ended,
Hon. Robert A. Dukes (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Deukemejian,03/24/1989,10/31/2018,Retired,Retirement
Hon. Robert A. Dukes (Ret.),"Judge of the Pomona Municipal Court, Los Angeles County",Appointed,Deukemejian,02/04/1987,03/24/1989,Promoted,Elevated
Hon. Jeffrey T. Miller,"Judge of the Superior Court of California,
  County of San Diego",Appointed,Deukemejian,02/06/1987,06/11/1997,Promoted,To Fed Court
Hon. Christine K. Goldsmith (Ret.),"Judge of the Superior Court of California,
  County of San Diego",Unification,,12/01/1998,10/10/2014,Retired,Retirement
Hon. Christine K. Goldsmith (Ret.),"Judge of the El Cajon Municipal Court, San Diego County",Appointed,Deukemejian,02/09/1987,12/01/1998,Non-Voluntary,Unification-SCA4
Hon. Melinda J. Lasater,"Judge of the Superior Court of California,
  County of San Diego",Appointed,Deukemejian,05/09/1990,05/09/1990,Active Service,
Hon. Melinda J. Lasater,"Judge of the San Diego Municipal Court, San Diego County",Appointed,Deukemejian,02/18/1987,05/09/1990,Promoted,Elevated
Hon. Louis E. Boyle,"Judge of the Superior Court of California,
  County of San Diego",Appointed,Deukemejian,03/06/1989,01/01/1990,Resigned,
Hon. Louis E. Boyle,"Judge of the San Diego Municipal Court, San Diego County",Appointed,Deukemejian,02/03/1987,03/06/1989,Promoted,Elevated
Hon. Lawrence J. Mira (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Unification,,01/22/2000,07/24/2013,Retired,Retirement
Hon. Lawrence J. Mira (Ret.),"Judge of the Malibu Municipal Court, Los Angeles County",Appointed,Deukemejian,02/10/1987,01/22/2000,Non-Voluntary,Unification-SCA4
Hon. Ronald M. Sabraw (Ret.),"Judge of the Superior Court of California,
  County of Alameda",Appointed,Deukemejian,01/18/1989,03/14/2007,Retired,Retirement
Hon. Ronald M. Sabraw (Ret.),"Judge of the Fremont-Newark-Union City Municipal Court, Alameda County",Appointed,Deukemejian,03/13/1987,01/18/1989,Promoted,Elevated
Hon. Kenneth A. Black (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Deukemejian,02/27/1987,11/04/2008,Retired,Retirement
Hon. Arthur G. Scotland (Ret.),"Associate Justice of the Court of Appeal
Third Appellate District",Appointed,Deukemejian,02/27/1989,12/22/1998,Promoted,Elevated
Hon. Arthur G. Scotland (Ret.),"Administrative Presiding Justice of the Court of Appeal
Third Appellate District",Appointed,Chief Justice,12/22/1998,09/30/2010,Retired,Retirement
Hon. Arthur G. Scotland (Ret.),"Judge of the Superior Court of California,
  County of Sacramento",Appointed,Deukemejian,04/10/1987,02/27/1989,Promoted,Elevated
Hon. Lawrence Jones (Ret.),"Judge of the Superior Court of California,
  County of Fresno",Appointed,Deukemejian,10/16/1989,10/25/2005,Retired,Retirement
Hon. Lawrence Jones (Ret.),"Judge of the Consolidated Fresno Municipal Court, Fresno County",Appointed,Deukemejian,04/20/1987,10/16/1989,Promoted,Elevated
"Hon. Edward Sarkisian, Jr. (Ret.)","Presiding Judge of the Superior Court of California,
  County of Fresno",Selected,,01/01/2005,12/31/2006,Term Ended,
"Hon. Edward Sarkisian, Jr. (Ret.)","Judge of the Superior Court of California,
  County of Fresno",Appointed,Wilson,04/30/1998,01/06/2019,Retired,Retirement
"Hon. Edward Sarkisian, Jr. (Ret.)","Judge of the Consolidated Fresno Municipal Court, Fresno County",Appointed,Deukemejian,04/20/1987,04/30/1998,Promoted,Elevated
Hon. Peter J. McBrien,"Judge of the Superior Court of California,
  County of Sacramento",Appointed,Deukemejian,07/18/1989,01/31/2014,Retired,Retirement
Hon. Peter J. McBrien,"Judge of the Sacramento Superior and Municipal Courts, Sacramento County",Appointed,Deukemejian,04/10/1987,07/18/1989,Promoted,Elevated
Hon. Dennis W. Bunting,"Judge of the Superior Court of California,
  County of Solano",Appointed,Deukemejian,05/15/1987,12/31/1994,Retired,Retirement
Hon. Barry B. Klopfer (Ret.),"Judge of the Superior Court of California,
  County of Ventura",Unification,,06/10/1998,06/30/2007,Retired,Retirement
Hon. Barry B. Klopfer (Ret.),"Judge of the Ventura County Municipal Court, Ventura County",Appointed,Deukemejian,04/13/1987,06/10/1998,Non-Voluntary,Unification-SCA4
Hon. Garrett J. Grant (Ret.),"Presiding Judge of the Superior Court of California,
  County of Contra Costa",Selected,,01/01/2001,12/31/2002,Term Ended,
Hon. Garrett J. Grant (Ret.),"Judge of the Superior Court of California,
  County of Contra Costa",Appointed,Wilson,10/31/1995,05/01/2005,Retired,Retirement
Hon. Garrett J. Grant (Ret.),"Judge of the Bay Municipal Court, Contra Costa County",Appointed,Deukemejian,05/01/1987,10/31/1995,Promoted,Elevated
Hon. Alan S. Kalkin (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Unification,,01/22/2000,02/18/2008,Retired,Retirement
Hon. Alan S. Kalkin (Ret.),"Judge of the Burbank Municipal Court, Los Angeles County",Appointed,Deukemejian,04/07/1987,01/22/2000,Non-Voluntary,Unification-SCA4
Hon. Robert B. Atack (Ret.),"Presiding Judge of the Superior Court of California,
  County of Santa Cruz",Selected,,01/01/2008,12/31/2009,Term Ended,
Hon. Robert B. Atack (Ret.),"Judge of the Superior Court of California,
  County of Santa Cruz",Appointed,Wilson,11/19/1997,05/09/2010,Retired,Retirement
Hon. Robert B. Atack (Ret.),"Judge of the Santa Cruz County Municipal Court, Santa Cruz County",Appointed,Deukemejian,05/08/1987,11/19/1997,Promoted,Elevated
Hon. Harry J. Loberg (Ret.),"Judge of the Superior Court of California,
  County of Santa Barbara",Unification,,08/03/1998,05/07/2003,Retired,Retirement
Hon. Harry J. Loberg (Ret.),"Judge of the Santa Barbara Municipal Court, Santa Barbara County",Appointed,Deukemejian,05/07/1987,08/03/1998,Non-Voluntary,Unification-SCA4
Hon. Carol A. Corrigan,"Judge of the Superior Court of California,
  County of Alameda",Appointed,Wilson,09/27/1991,08/05/1994,Promoted,Elevated
Hon. Carol A. Corrigan,"Associate Justice of the Court of Appeal
First Appellate District, Division Three",Appointed,Wilson,08/05/1994,01/03/2006,Promoted,Elevated
Hon. Carol A. Corrigan,Associate Justice,Appointed,Schwarzenegger,01/04/2006,01/04/2006,Active Service,
Hon. Carol A. Corrigan,"Judge of the Oakland-Piedmont-Emeryville Municipal Court, Alameda County",Appointed,Deukemejian,05/18/1987,09/27/1991,Promoted,Elevated
Hon. Dennis A. McConaghy (Ret.),"Judge of the Superior Court of California,
  County of Riverside",Unification,,07/29/1998,03/26/2007,Retired,Retirement
Hon. Dennis A. McConaghy (Ret.),"Judge of the Consolidated Superior and Municipal Courts of Riverside County, Riverside County",Appointed,Board of Supv,08/26/1992,07/29/1998,Non-Voluntary,Unification-SCA4
Hon. Dennis A. McConaghy (Ret.),"Judge of the Riverside Municipal Court District, Riverside County",Appointed,Deukemejian,04/30/1987,08/26/1992,Promoted,Elevated
Hon. Donald L. Meloche (Ret.),"Judge of the Superior Court of California,
  County of San Diego",Appointed,Deukemejian,05/08/1987,06/21/1998,Retired,Retirement
Hon. Andrew G. Wagner,"Judge of the Superior Court of California,
  County of San Diego",Appointed,Deukemejian,04/30/1987,03/21/1990,Deceased,
Hon. Hugh Michael Brenner (Ret.),"Judge of the Superior Court of California,
  County of Orange",Appointed,Deukemejian,01/26/1988,10/07/2007,Retired,Retirement
Hon. Hugh Michael Brenner (Ret.),"Judge of the Central Orange County Municipal Court, Orange County",Appointed,Deukemejian,05/14/1987,01/26/1988,Promoted,Elevated
Hon. Gregory F. Haas (Ret.),"Judge of the Superior Court of California,
  County of El Dorado",Unification,,08/01/1998,01/05/2003,Retired,Retirement
Hon. Gregory F. Haas (Ret.),"Judge of the Placerville Justice Court District, El Dorado County",Appointed,Board of Supv,05/18/1987,01/01/1989,Promoted,Elevated
Hon. Gregory F. Haas (Ret.),"Judge of the El Dorado County Municipal Court Placerville Division, El Dorado County",Appointed,Board of Supv,01/01/1989,08/01/1998,Non-Voluntary,Unification-SCA4
Hon. George W. Nicholson (Ret.),"Associate Justice of the Court of Appeal
Third Appellate District",Appointed,Deukemejian,08/23/1990,01/02/2018,Retired,Retirement
Hon. George W. Nicholson (Ret.),"Judge of the Superior Court of California,
  County of Sacramento",Appointed,Deukemejian,11/02/1989,08/23/1990,Promoted,Elevated
Hon. George W. Nicholson (Ret.),"Judge of the Sacramento Superior and Municipal Courts, Sacramento County",Appointed,Deukemejian,05/26/1987,11/02/1989,Promoted,Elevated
Hon. Linda B. Quinn (Ret.),"Judge of the Superior Court of California,
  County of San Diego",Appointed,Deukemejian,08/08/1989,02/29/2012,Retired,Retirement
Hon. Linda B. Quinn (Ret.),"Judge of the San Diego Municipal Court, San Diego County",Appointed,Deukemejian,06/09/1987,08/08/1989,Promoted,Elevated
Hon. Jeffrey L. Giarde (Ret.),"Judge of the San Bernardino County Municipal Court East Division, San Bernardino County",Appointed,Deukemejian,06/12/1987,03/28/1996,Retired,Retirement
Hon. Ronald M. Couillard (Ret.),"Judge of the Superior Court of California,
  County of Tulare",Unification,,07/27/1998,07/02/2007,Retired,Retirement
Hon. Ronald M. Couillard (Ret.),"Judge of the Tulare County Municipal Court, Tulare County",Appointed,Deukemejian,01/01/1991,07/27/1998,Non-Voluntary,Unification-SCA4
Hon. Ronald M. Couillard (Ret.),"Judge of the Visalia Municipal Court District, Tulare County",Appointed,Deukemejian,07/02/1987,01/01/1991,Promoted,Elevated
Hon. Lee D. Baxter (Ret.),"Judge of the Superior Court of California,
  County of San Francisco",Appointed,Wilson,01/24/1992,06/30/1999,Retired,Retirement
Hon. Lee D. Baxter (Ret.),"Judge of the San Francisco Municipal Court, San Francisco County",Appointed,Deukemejian,06/12/1987,01/24/1992,Promoted,Elevated
Hon. Henry T. Barela (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Unification,,01/22/2000,01/06/2019,Retired,Retirement
Hon. Henry T. Barela (Ret.),"Judge of the East Los Angeles Municipal Court, Los Angeles County",Appointed,Deukemejian,06/19/1987,01/22/2000,Non-Voluntary,Unification-SCA4
Hon. Richard R. Romero (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Deukemejian,12/11/1989,02/15/2020,Retired,Retirement
Hon. Richard R. Romero (Ret.),"Judge of the East Los Angeles Municipal Court, Los Angeles County",Appointed,Deukemejian,07/06/1987,12/11/1989,Promoted,Elevated
Hon. John W. Runde (Ret.),"Presiding Judge of the Superior Court of California,
  County of San Mateo",Selected,,01/01/2001,12/31/2002,Term Ended,
Hon. John W. Runde (Ret.),"Judge of the Superior Court of California,
  County of San Mateo",Appointed,Wilson,11/05/1996,04/03/2008,Retired,Retirement
Hon. John W. Runde (Ret.),"Judge of the San Mateo County Municipal Court, San Mateo County",Appointed,Deukemejian,06/29/1987,11/05/1996,Promoted,Elevated
Hon. Alice E. Altoon (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Unification,,01/22/2000,06/20/2007,Retired,Retirement
Hon. Alice E. Altoon (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Deukemejian,06/12/1987,01/22/2000,Non-Voluntary,Unification-SCA4
Hon. Michael R. Hoff (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Deukemejian,07/18/1989,07/31/2008,Retired,Retirement
Hon. Michael R. Hoff (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Deukemejian,06/10/1987,07/18/1989,Promoted,Elevated
Hon. Lois Anderson Smaltz (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Deukemejian,01/03/1991,07/31/2007,Retired,Retirement
Hon. Lois Anderson Smaltz (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Deukemejian,07/10/1987,01/03/1991,Promoted,Elevated
Hon. Marilyn Lois Hoffman (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Unification,,01/22/2000,06/06/2003,Retired,Retirement
Hon. Marilyn Lois Hoffman (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Deukemejian,07/16/1987,01/22/2000,Non-Voluntary,Unification-SCA4
Hon. James L. Wright (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Unification,,01/22/2000,10/31/2004,Retired,Retirement
Hon. James L. Wright (Ret.),"Judge of the Long Beach Municipal Court, Los Angeles County",Appointed,Deukemejian,07/10/1987,01/22/2000,Non-Voluntary,Unification-SCA4
Hon. W. Robert Fawke (Ret.),"Judge of the Superior Court of California,
  County of San Bernardino",Unification,,08/10/1998,04/22/2011,Retired,Retirement
Hon. W. Robert Fawke (Ret.),"Judge of the San Bernardino County Municipal Court Central Division, San Bernardino County",Appointed,Deukemejian,07/17/1987,08/10/1998,Non-Voluntary,Unification-SCA4
Hon. Maureen Duffy-Lewis,"Judge of the Superior Court of California,
  County of Los Angeles",Elected,,01/06/1997,01/06/1997,Active Service,
Hon. Maureen Duffy-Lewis,"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Deukemejian,07/10/1987,01/06/1997,Promoted,Elevated
Hon. Jonathan H. Cannon (Ret.),"Judge of the Superior Court of California,
  County of Orange",Appointed,Deukemejian,05/05/1989,07/16/2007,Retired,Retirement
Hon. Jonathan H. Cannon (Ret.),"Judge of the West Orange County Municipal Court, Orange County",Appointed,Deukemejian,07/17/1987,05/04/1989,Promoted,Elevated
Hon. Vincent P. DiFiglia (Ret.),"Judge of the Superior Court of California,
  County of San Diego",Appointed,Deukemejian,07/24/1987,11/30/2003,Retired,Retirement
Hon. Bert B. Bailey,"Judge of the Superior Court of California,
  County of Colusa",Appointed,Deukemejian,09/04/1987,02/03/1991,Deceased,
Hon. Steven J. Howell (Ret.),"Presiding Judge of the Superior Court of California,
  County of Butte",Selected,,01/01/2006,12/31/2007,Term Ended,
Hon. Steven J. Howell (Ret.),"Presiding Judge of the Superior Court of California,
  County of Butte",Selected,,01/01/2010,12/31/2011,Term Ended,
Hon. Steven J. Howell (Ret.),"Judge of the Superior Court of California,
  County of Butte",Appointed,Wilson,05/18/1996,02/29/2012,Retired,Retirement
Hon. Steven J. Howell (Ret.),"Judge of the South Butte County Municipal Court Gridley Branch, Butte County",Appointed,Deukemejian,09/08/1987,05/18/1996,Promoted,Elevated
Hon. Mark R. Forcum (Ret.),"Presiding Judge of the Superior Court of California,
  County of San Mateo",Selected,,01/01/2003,12/31/2004,Term Ended,
Hon. Mark R. Forcum (Ret.),"Judge of the Superior Court of California,
  County of San Mateo",Elected,,01/04/1993,09/10/2019,Retired,Retirement
Hon. Mark R. Forcum (Ret.),"Judge of the San Mateo County Municipal Court, San Mateo County",Appointed,Deukemejian,08/27/1987,01/04/1993,Promoted,Elevated
Hon. Richard J. Oberholzer (Ret.),"Judge of the Superior Court of California,
  County of Kern",Appointed,Deukemejian,10/23/1987,02/29/2008,Retired,Retirement
Hon. Merle R. Eaton (Ret.),"Judge of the Superior Court of California,
  County of Contra Costa",Unification,,06/08/1998,02/28/2006,Retired,Retirement
Hon. Merle R. Eaton (Ret.),"Judge of the Walnut Creek-Danville Municipal Court, Contra Costa County",Appointed,Deukemejian,09/28/1987,06/08/1998,Non-Voluntary,Unification-SCA4
Hon. Richard P. Neidorf (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Deukemejian,04/16/1989,07/09/2007,Retired,Retirement
Hon. Richard P. Neidorf (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Deukemejian,09/09/1987,04/16/1989,Promoted,Elevated
Hon. David P. Yaffe (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Deukemejian,10/07/1987,10/31/2010,Retired,Retirement
Hon. J. Lewis Liesch (Ret.),"Judge of the Superior Court of California,
  County of San Bernardino",Appointed,Deukemejian,09/23/1987,07/12/1995,Retired,Retirement
Hon. Frederico Castro (Ret.),"Judge of the Superior Court of California,
  County of San Diego",Appointed,Deukemejian,10/15/1987,01/07/2001,Retired,Retirement
Hon. Bernard E. Revak (Ret.),"Judge of the Superior Court of California,
  County of San Diego",Appointed,Deukemejian,10/02/1987,04/03/2005,Retired,Retirement
Hon. John P. Farrell (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Deukemejian,11/04/1987,07/07/2009,Retired,Retirement
"Hon. Richard O. Frazee, Sr. (Ret.)","Judge of the Superior Court of California,
  County of Orange",Appointed,Deukemejian,12/04/1987,04/01/2005,Retired,Retirement
Hon. Dennis S. Choate (Ret.),"Judge of the Superior Court of California,
  County of Orange",Appointed,Deukemejian,05/08/1989,04/02/2008,Retired,Retirement
Hon. Dennis S. Choate (Ret.),"Judge of the West Orange County Municipal Court, Orange County",Appointed,Deukemejian,10/29/1987,05/08/1989,Promoted,Elevated
Hon. Peter E. Riddle (Ret.),"Judge of the Superior Court of California,
  County of San Diego",Appointed,Deukemejian,03/06/1989,10/31/2000,Retired,Retirement
Hon. Peter E. Riddle (Ret.),"Judge of the San Diego Municipal Court, San Diego County",Appointed,Deukemejian,10/30/1987,03/06/1989,Promoted,Elevated
Hon. William H. Sullivan (Ret.),"Judge of the Superior Court of California,
  County of Riverside",Appointed,Deukemejian,11/17/1987,12/31/1999,Retired,Retirement
Hon. Rodney S. Melville (Ret.),"Presiding Judge of the Superior Court of California,
  County of Santa Barbara",Selected,,01/01/2001,12/31/2002,Term Ended,
Hon. Rodney S. Melville (Ret.),"Presiding Judge of the Superior Court of California,
  County of Santa Barbara",Selected,,01/01/2005,12/31/2006,Term Ended,
Hon. Rodney S. Melville (Ret.),"Judge of the Superior Court of California,
  County of Santa Barbara",Appointed,Deukemejian,11/26/1990,10/12/2007,Retired,Retirement
Hon. Rodney S. Melville (Ret.),"Judge of the North Santa Barbara County Municipal Court, Santa Barbara County",Appointed,Deukemejian,12/11/1987,11/26/1990,Promoted,Elevated
Hon. Curtis B. Rappé,"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Deukemejian,12/04/1987,12/04/1987,Active Service,
"Hon. George Bruggeman, Jr.","Judge of the Superior Court of California,
  County of San Bernardino",Appointed,Deukemejian,12/01/1987,12/10/1987,Resigned,
Hon. Bradford L. Andrews (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Unification,,01/22/2000,01/07/2008,Retired,Retirement
Hon. Bradford L. Andrews (Ret.),"Judge of the Long Beach Municipal Court, Los Angeles County",Appointed,Deukemejian,12/31/1987,01/22/2000,Non-Voluntary,Unification-SCA4
Hon. William A. Masterson (Ret.),"Associate Justice of the Court of Appeal
Second Appellate District, Division One",Appointed,Wilson,01/12/1993,06/30/2000,Retired,Retirement
Hon. William A. Masterson (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Deukemejian,01/13/1988,01/12/1993,Promoted,Elevated
Hon. Judith L. Champagne (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Deukemejian,06/14/1990,08/31/2011,Retired,Retirement
Hon. Judith L. Champagne (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Deukemejian,12/18/1987,06/14/1990,Promoted,Elevated
Hon. Lance A. Ito (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Deukemejian,07/15/1989,01/04/2015,Retired,Retirement
Hon. Lance A. Ito (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Deukemejian,12/18/1987,07/15/1989,Promoted,Elevated
Hon. Charles L. Peven (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Deukemejian,12/27/1989,12/15/2007,Retired,Retirement
Hon. Charles L. Peven (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Deukemejian,12/16/1987,12/27/1989,Promoted,Elevated
Hon. W. Charles Morgan (Ret.),"Judge of the Superior Court of California,
  County of Riverside",Appointed,Wilson,01/24/1992,01/31/2011,Retired,Retirement
Hon. W. Charles Morgan (Ret.),"Judge of the Riverside Municipal Court District, Riverside County",Appointed,Deukemejian,01/13/1988,01/24/1992,Promoted,Elevated
Hon. Douglas K. Southard (Ret.),"Judge of the Superior Court of California,
  County of Santa Clara",Unification,,08/03/1998,09/30/2011,Retired,Retirement
Hon. Douglas K. Southard (Ret.),"Judge of the Santa Clara County Municipal Court, Santa Clara County",Appointed,Deukemejian,01/08/1988,08/03/1998,Non-Voluntary,Unification-SCA4
Hon. S. William Abel (Ret.),"Presiding Judge of the Superior Court of California,
  County of Colusa",Selected,,01/01/2002,12/31/2003,Term Ended,
Hon. S. William Abel (Ret.),"Presiding Judge of the Superior Court of California,
  County of Colusa",Selected,,01/01/2006,12/31/2007,Term Ended,
Hon. S. William Abel (Ret.),"Judge of the Superior Court of California,
  County of Colusa",Appointed,Wilson,09/30/1991,01/05/2008,Retired,Retirement
Hon. S. William Abel (Ret.),"Judge of the Colusa County Justice Court, Colusa County",Appointed,Board of Supv,01/04/1988,09/30/1991,Promoted,Elevated
Hon. Ming W. Chin,"Judge of the Superior Court of California,
  County of Alameda",Appointed,Deukemejian,01/08/1988,08/20/1990,Promoted,Elevated
Hon. Ming W. Chin,"Associate Justice of the Court of Appeal
First Appellate District, Division Three",Appointed,Deukemejian,08/20/1990,08/28/1994,Promoted,Elevated
Hon. Ming W. Chin,"Presiding Justice of the Court of Appeal
First Appellate District, Division Three",Appointed,Deukemejian,08/29/1994,02/29/1996,Promoted,Elevated
Hon. Ming W. Chin,Associate Justice,Appointed,Wilson,03/01/1996,03/01/1996,Active Service,
Hon. Conrad L. Cox (Ret.),"Judge of the Superior Court of California,
  County of Mendocino",Appointed,Deukemejian,01/22/1988,03/31/2001,Retired,Retirement
Hon. John I. Kelly (Ret.),"Judge of the Superior Court of California,
  County of Kern",Appointed,Deukemejian,01/29/1988,05/05/2008,Retired,Retirement
Hon. Jason G. Brent,"Judge of the East Kern Municipal Court Mojave Branch, Kern County",Appointed,Deukemejian,01/29/1988,01/07/1991,Term Ended,
Hon. Daniel S. Pratt (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Deukemejian,07/15/1989,03/02/2008,Retired,Retirement
Hon. Daniel S. Pratt (Ret.),"Judge of the East Los Angeles Municipal Court, Los Angeles County",Appointed,Deukemejian,01/25/1988,07/15/1989,Promoted,Elevated
"Hon. Paul M. Bryant, Jr. (Ret.)","Judge of the Superior Court of California,
  County of San Bernardino",Appointed,Deukemejian,09/26/1989,01/26/2008,Retired,Retirement
"Hon. Paul M. Bryant, Jr. (Ret.)","Judge of the San Bernardino County Municipal Court Central Division, San Bernardino County",Appointed,Deukemejian,01/26/1988,09/26/1989,Promoted,Elevated
Hon. Ronald S. Prager (Ret.),"Judge of the Superior Court of California,
  County of San Diego",Appointed,Deukemejian,08/08/1989,01/06/2017,Retired,Retirement
Hon. Ronald S. Prager (Ret.),"Judge of the El Cajon Municipal Court, San Diego County",Appointed,Deukemejian,01/29/1988,08/08/1989,Promoted,Elevated
Hon. Eddie C. Sturgeon,"Judge of the Superior Court of California,
  County of San Diego",Unification,,12/01/1998,12/01/1998,Active Service,
Hon. Eddie C. Sturgeon,"Judge of the El Cajon Municipal Court, San Diego County",Appointed,Deukemejian,01/27/1988,12/01/1998,Non-Voluntary,Unification-SCA4
Hon. Stephen D. Petersen (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Deukemejian,01/29/1988,06/26/2006,Retired,Retirement
Hon. Robert D. Monarch (Ret.),"Judge of the Superior Court of California,
  County of Orange",Appointed,Deukemejian,01/29/1988,01/31/2002,Retired,Retirement
Hon. John S. Fisher (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Deukemejian,07/18/1989,02/22/2013,Retired,Retirement
Hon. John S. Fisher (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Deukemejian,02/05/1988,07/18/1989,Promoted,Elevated
Hon. Charles L. Patrick (Ret.),"Judge of the Superior Court of California,
  County of San Diego",Unification,,12/01/1998,02/04/2000,Retired,Retirement
Hon. Charles L. Patrick (Ret.),"Judge of the San Diego Municipal Court, San Diego County",Appointed,Deukemejian,02/04/1988,12/01/1998,Non-Voluntary,Unification-SCA4
Hon. Kevin Midlam (Ret.),"Judge of the Superior Court of California,
  County of San Diego",Appointed,Deukemejian,02/09/1988,05/31/1995,Retired,Retirement
Hon. James R. Milliken,"Judge of the Superior Court of California,
  County of San Diego",Appointed,Deukemejian,02/09/1988,11/12/2003,Term Ended,
Hon. Christine V. Pate (Ret.),"Judge of the Superior Court of California,
  County of San Diego",Appointed,Deukemejian,02/09/1988,02/05/2008,Retired,Retirement
Hon. Ray E. Cunningham (Ret.),"Judge of the Superior Court of California,
  County of Santa Clara",Unification,,08/03/1998,10/04/2008,Retired,Retirement
Hon. Ray E. Cunningham (Ret.),"Judge of the Santa Clara County Municipal Court, Santa Clara County",Appointed,Deukemejian,02/09/1988,08/03/1998,Non-Voluntary,Unification-SCA4
"Hon. Charles W. Campbell, Jr. (Ret.)","Judge of the Superior Court of California,
  County of Ventura",Appointed,Wilson,01/27/1992,03/02/2008,Retired,Retirement
"Hon. Charles W. Campbell, Jr. (Ret.)","Judge of the Ventura County Municipal Court, Ventura County",Appointed,Deukemejian,02/26/1988,01/27/1992,Promoted,Elevated
Hon. David A. Blume,"Judge of the Superior Court of California,
  County of Imperial",Appointed,Deukemejian,02/24/1988,01/02/1989,Defeated,
Hon. Charles E. Horan (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Deukemejian,10/01/1990,05/06/2011,Retired,Retirement
Hon. Charles E. Horan (Ret.),"Judge of the Glendale Municipal Court, Los Angeles County",Appointed,Deukemejian,04/12/1988,10/01/1990,Promoted,Elevated
Hon. James B. Pierce (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Deukemejian,08/09/1989,01/04/2015,Retired,Retirement
Hon. James B. Pierce (Ret.),"Judge of the Long Beach Municipal Court, Los Angeles County",Appointed,Deukemejian,04/15/1988,08/09/1989,Promoted,Elevated
